Reg No,Vehicle Name,Vehicle Type,Fuel Type
CH - 2606,CH - 2606,Maruti Eeco,CNG/Petrol
CH - 5250,CH - 5250,Innova,Diesel
CH - 7107,CH - 7107,Mahindra Bolero B6,Diesel
CH - 7191,CH - 7191,Hycross,Petrol Hybrid
CH - 7478,CH - 7478,Mahindra Bolero B6,Diesel
CH - 8712,CH - 8712,Mahindra Bolero B6,Diesel
DL10CR0142,DL10CR0142,Ciaz,CNG
DL10CR1220,DL10CR1220,Ciaz,CNG
DL10DA5037,DL10DA5037,Ciaz,CNG
DL10DA5039,DL10DA5039,Ciaz,CNG
DL10DA5085,DL10DA5085,Ciaz,CNG
DL10DA5097,DL10DA5097,Ciaz,CNG
DL10DA5227,DL10DA5227,Ciaz,CNG
DL10DA5513,DL10DA5513,Ciaz,CNG
DL10DA5539,DL10DA5539,Ciaz,CNG
DL10DA5541,DL10DA5541,Ciaz,CNG
DL10DA5574,DL10DA5574,Ciaz,CNG
DL10DA5613,DL10DA5613,Ciaz,CNG
DL10DB2420,DL10DB2420,Ciaz,CNG
DL10DB2436,DL10DB2436,Ciaz,CNG
DL10DB2488,DL10DB2488,Ciaz,CNG
DL10DB3034,DL10DB3034,Ciaz,CNG
DL10DB3042,DL10DB3042,Ciaz,CNG
DL10DB6751,DL10DB6751,MG ZS EV Executive,Electric
DL11CG4515,DL11CG4515,Dzire,CNG/Petrol
DL11CG4541,DL11CG4541,Dzire,CNG/Petrol
DL11CG4544,DL11CG4544,Dzire,CNG/Petrol
DL11CG4550,DL11CG4550,Dzire,CNG/Petrol
DL11CG4562,DL11CG4562,Dzire,CNG/Petrol
DL1CAG7325,DL1CAG7325,Dzire,CNG
DL1CAG7462,DL1CAG7462,Dzire,CNG/Petrol
DL1CAG8490,DL1CAG8490,Ciaz,Petrol
DL1CAH7243,DL1CAH7243,Dzire,CNG/Petrol
DL1CAH8121,DL1CAH8121,Innova,Petrol
DL1CAH8150,DL1CAH8150,,
DL1CAH8164,DL1CAH8164,Innova,Petrol
DL1CAH8501,DL1CAH8501,Hycross,Petrol Hybrid
DL1CAH9314,DL1CAH9314,Dzire,CNG
DL1CAH9384,DL1CAH9384,Dzire,CNG
DL1CAH9484,DL1CAH9484,Dzire,CNG
DL1CAJ4123,DL1CAJ4123,Toyota Rumion,CNG
